Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001087,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
LP001088,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
LP001089,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
LP001090,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
LP001091,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
LP001092,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
LP001093,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
LP001094,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
LP001095,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
LP001096,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
LP001097,Male,No,0,Graduate,,6782,0,,360,,Urban,N
LP001098,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
LP001099,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
LP001100,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
LP001101,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
LP001102,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
LP001103,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
LP001104,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y
LP001105,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
LP001106,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y
LP001107,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
LP001108,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
LP001109,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N
LP001110,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
LP001111,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
LP001112,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
LP001113,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
LP001114,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N
LP001115,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y
LP001116,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
LP001117,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
LP001118,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
LP001119,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y
LP001120,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
LP001121,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
LP001122,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y
LP001123,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
LP001124,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
LP001125,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
LP001126,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
LP001127,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
LP001128,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y
LP001129,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
LP001130,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
LP001131,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
LP001132,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
LP001133,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
LP001134,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
LP001135,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
LP001136,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
LP001137,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N
LP001138,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
LP001139,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
LP001140,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
LP001141,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
LP001142,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
LP001143,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
LP001144,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
LP001145,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
LP001146,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
LP001147,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
LP001148,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
LP001149,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
LP001150,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
LP001151,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
LP001152,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
LP001153,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
LP001154,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
LP001155,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
LP001156,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
LP001157,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
LP001158,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
LP001159,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
LP001160,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
LP001161,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
LP001162,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
LP001163,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
LP001164,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
LP001165,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
LP001166,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
LP001167,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
LP001168,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
LP001169,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
LP001170,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
LP001171,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
LP001172,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
LP001173,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
LP001174,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
LP001175,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
LP001176,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
LP001177,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
LP001178,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
LP001179,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
LP001180,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
LP001181,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
LP001182,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
LP001183,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
LP001184,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
LP001185,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
LP001186,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
LP001187,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
LP001188,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
LP001189,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
LP001190,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
LP001191,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
LP001192,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
LP001193,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
LP001194,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
LP001195,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
LP001196,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
LP001197,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
LP001198,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
LP001199,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
LP001200,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
LP001201,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
LP001202,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
LP001203,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
LP001204,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
LP001205,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
LP001206,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
LP001207,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
LP001208,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
LP001209,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
LP001210,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
LP001211,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
LP001212,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
LP001213,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
LP001214,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
LP001215,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
LP001216,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
LP001217,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
LP001218,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
LP001219,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
LP001220,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
LP001221,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
LP001222,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
LP001223,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
LP001224,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
LP001225,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
LP001226,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
LP001227,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
LP001228,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
LP001229,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
LP001230,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
LP001231,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
LP001232,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
LP001233,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
LP001234,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
LP001235,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
LP001236,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
LP001237,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
LP001238,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
LP001239,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
LP001240,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
LP001241,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
LP001242,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
LP001243,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
LP001244,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
LP001245,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
LP001246,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
LP001247,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
LP001248,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
LP001249,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
LP001250,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
LP001251,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
LP001252,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
LP001253,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
LP001254,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
LP001255,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
LP001256,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N
LP001257,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y
LP001258,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
LP001259,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
LP001260,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
LP001261,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,N
LP001262,Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,Y
LP001263,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
LP001264,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
LP001265,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
LP001266,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
LP001267,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
LP001268,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
LP001269,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y
LP001270,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N
LP001271,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
LP001272,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
LP001273,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y
LP001274,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y
LP001275,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
LP001276,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y
LP001277,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
LP001278,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y
LP001279,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
LP001280,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y
LP001281,Female,Yes,0,Not Graduate,No,4100,0,124,360,,Rural,Y
LP001282,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N
LP001283,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
LP001284,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
LP001285,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
LP001286,Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,N
LP001287,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
LP001288,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
LP001289,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y
LP001290,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
LP001291,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
LP001292,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
LP001293,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
LP001294,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
LP001295,Female,No,,Graduate,No,5417,0,143,480,0,Urban,N
LP001296,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
LP001297,Male,Yes,3+,Graduate,,4416,1250,110,360,1,Urban,Y
LP001298,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Y
LP001299,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
LP001300,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N
LP001301,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
LP001302,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
LP001303,Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,Y
LP001304,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
LP001305,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
LP001306,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y
LP001307,Male,No,0,Not Graduate,No,2000,0,,360,1,Urban,N
LP001308,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
LP001309,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
LP001310,Male,No,0,Graduate,No,20233,0,480,360,1,Rural,N
LP001311,Male,Yes,2,Not Graduate,No,7667,0,185,360,,Rural,Y
LP001312,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Y
LP001313,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
LP001314,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
LP001315,Male,Yes,2,Graduate,Yes,5746,0,144,84,,Rural,Y
LP001316,,Yes,0,Graduate,No,2473,1843,159,360,1,Rural,N
LP001317,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
LP001318,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y
LP001319,Male,Yes,0,Graduate,No,2058,2134,88,360,,Urban,Y
LP001320,Female,No,1,Graduate,No,3541,0,112,360,,Semiurban,Y
LP001321,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N
LP001322,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
LP001323,Male,Yes,3+,Graduate,No,4342,189,124,360,1,Semiurban,Y
LP001324,Male,Yes,2,Not Graduate,No,3601,1590,,360,1,Rural,Y
LP001325,Female,No,0,Graduate,No,3166,2985,132,360,,Rural,Y
LP001326,Male,Yes,3+,Graduate,No,15000,0,300,360,1,Rural,Y
LP001327,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
LP001328,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
LP001329,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
LP001330,Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
LP001331,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
LP001332,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
LP001333,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
LP001334,Male,No,,Graduate,No,2833,0,71,360,1,Urban,Y
LP001335,Male,Yes,0,Graduate,,63337,0,490,180,1,Urban,Y
LP001336,,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Y
LP001337,Male,Yes,,Graduate,Yes,5503,4490,70,,1,Semiurban,Y
LP001338,Male,Yes,1,Graduate,,5250,688,160,360,1,Rural,Y
LP001339,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
LP001340,Female,No,3+,Not Graduate,No,1830,0,,360,0,Urban,N
LP001341,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
LP001342,Male,Yes,3+,Not Graduate,No,2647,1587,173,360,1,Rural,N
LP001343,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
LP001344,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Y
LP001345,Male,Yes,3+,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
LP001346,Male,Yes,2,Graduate,,2583,2330,125,360,1,Rural,Y
LP001347,Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Y
LP001348,Male,Yes,,Not Graduate,No,3523,3230,152,360,0,Rural,N
